PersonalID,FirstName,MiddleName,LastName,NameSuffix,NameDataQuality,SSN,SSNDataQuality,DOB,DOBDataQuality,Sex,AmIndAKNative,Asian,BlackAfAmerican,HispanicLatinao,MidEastNAfrican,NativeHIPacific,White,RaceNone,AdditionalRaceEthnicity,VeteranStatus,YearEnteredService,YearSeparated,WorldWarII,KoreanWar,VietnamWar,DesertStorm,AfghanistanOEF,IraqOIF,IraqOND,OtherTheater,MilitaryBranch,DischargeStatus,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"C10968","Orchid",,"Rockweed",,1,"369809041",1,1988-05-14,1,,0,1,0,0,0,0,0,,,0,,,,,,,,,,,,,2005-05-10 21:35:00,2021-02-12 10:07:10,"NXS110U",,"LSAv8TestJul271308"
"C10971","Caraway",,"Coriander",,1,"268756506",1,2018-11-10,1,,0,0,0,0,0,0,1,,,1,,,,,,,,,,,,,2005-06-30 19:14:00,2024-07-23 08:31:27,"RRH124U",,"LSAv8TestJul271308"
"C10974","Quilting",,"Radiciform",,99,"478097187",1,1957-07-14,1,,0,0,0,0,0,0,1,,,1,,,,,,,,,,,,,2005-07-23 18:25:00,2018-08-03 06:09:08,"TRN118U",,"LSAv8TestJul271308"
"C10977","Guise",,"Emblazon",,1,"641384426",1,1966-09-16,1,,0,0,1,0,0,0,0,,,0,,,,,,,,,,,,,2005-07-26 17:47:00,2025-03-03 13:11:25,"RRH132U",,"LSAv8TestJul271308"
"C10980","Scratch",,"Victor",,1,"283371474",1,1962-08-24,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2005-08-09 13:33:00,2020-07-06 15:17:41,"RSO152U",,"LSAv8TestJul271308"
"C10983","Vicarage",,"Color",,99,"485356217",1,1961-06-23,1,,0,0,0,0,1,1,0,,,0,,,,,,,,,,,,,2005-08-11 09:00:00,2018-08-03 06:09:08,"NXS109U",,"LSAv8TestJul271308"
"C10986","Axminster",,"Contrivance",,1,"749236399",1,1989-06-07,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2005-09-02 09:48:48,2023-11-09 12:03:56,"NXS113U",,"LSAv8TestJul271308"
"C10989","Chevron",,"Pale",,1,"474903515",1,1957-08-09,1,,1,1,0,0,0,0,0,,,0,,,,,,,,,,,,,2005-09-02 16:53:00,2024-04-14 09:15:52,"NXS116U",,"LSAv8TestJul271308"
"C10992","Maize",,"Axminster",,1,"133409264",1,1954-05-17,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2005-09-29 17:19:00,2025-07-17 15:42:01,"NXS116U",,"LSAv8TestJul271308"
"C10995","Reddishness",,"Plush",,1,"817411626",1,1968-07-25,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2005-09-29 23:19:00,2023-02-04 14:18:05,"PSH148U",,"LSAv8TestJul271308"
"C10998","Chartreuse",,"Cloak",,1,"731481309",1,1965-05-05,1,,0,0,0,0,0,0,1,,,1,,,,,,,,,,,,,2005-10-13 01:25:00,2026-01-09 15:03:08,"NXS127U",,"LSAv8TestJul271308"
"C11001","Titivate",,"Makeup",,1,"812934276",1,1976-04-14,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2005-10-14 09:17:00,2024-01-06 07:36:11,"RSO152U",,"LSAv8TestJul271308"
"C11004","Pigmentation",,"Anthragallol",,1,"833171677",1,1972-10-16,1,,0,0,1,0,0,0,0,,,0,,,,,,,,,,,,,2005-10-17 10:59:00,2023-02-24 10:28:43,"NXS113U",,"LSAv8TestJul271308"
"C11007","Infrared",,"Panne",,99,,99,2002-06-07,1,,0,0,1,0,0,0,0,,,0,,,,,,,,,,,,,2005-11-10 14:12:00,2018-08-03 06:09:08,"NXS111U",,"LSAv8TestJul271308"
"C11010","Duffel",,"Structuring",,1,"539450150",1,1973-07-05,1,,0,0,0,0,0,0,1,,,0,,,,,,,,,,,,,2005-11-26 22:40:00,2024-01-20 10:48:29,"NXS106U",,"LSAv8TestJul271308"
